FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA
1, ,LCHQ_116, ,POINT,UNCLASSIFIED,NORTHWESTERN MUTUAL FINANCIAL NETWORK,414,271-1444,720 EAST WISCONSIN AVENUE, ,MILWAUKEE,WI,53202,4703,MILWAUKEE,55079,LOCATED ON THE NORTHEAST CORNER OF EAST WISCONSIN AVENUE AND NORHT VAN BUREN STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,33383741,TGS,-87.902162,43.039372,NAVTEQ,2006Q3,ONENTITY,YES,TGS
2, ,LCHQ_409, ,POINT,UNCLASSIFIED,DARDEN RESTAURANTS INCORPORATED,407,245-4000,5900 LAKE ELLENOR DRIVE, ,ORLANDO,FL,32809,4634,ORANGE,12095,"LOCATED ON THE SOUTHWEST SIDE OF LAKE ELLENOR DRIVE, BETWEEN WEST OAK RIDGE ROAD AND SOUTH RIO GRANDE AVENUE.", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,22407158,TGS,-81.404424,28.47029,NAVTEQ,2006Q3,ONENTITY,YES,TGS
3, ,LCHQ_248, ,POINT,UNCLASSIFIED,FIDELITY NATIONAL FINANCIAL INCORPORATED,904,854-8100,601 RIVERSIDE AVENUE, ,JACKSONVILLE,FL,32204,2950,DUVAL,12031,LOCATED AT THE SOUTHEAST CORNER OF RIVERSIDE AVENUE AND ROSSELLE STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,23028178,TGS,-81.674335,30.317817,NAVTEQ,2006Q3,ONENTITY,YES,TGS
4, ,LCHQ_441, ,POINT,UNCLASSIFIED,PACIFIC LIFE INSURANCE COMPANY,949,219-3011,700 NEWPORT CENTER DRIVE, ,NEWPORT BEACH,CA,92660,6307,ORANGE,06059,.06 MILES WEST OF SANTA CRUZ DRIVE ON THE NORTHWEST SIDE OF NEWPORT CENTER DRIVE, , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,24585694,TGS,-117.877413,33.619446,NAVTEQ,2006Q3,ONENTITY,YES,TGS
5, ,LCHQ_450, ,POINT,UNCLASSIFIED,LONGS DRUG STORES INCORPORATED,925,937-1170,141 NORTH CIVIC DRIVE, ,WALNUT CREEK,CA,94596,3815,CONTRA COSTA,06013,"W SIDE OF N CIVIC DR, 0.09MI NE OF YGNACIO VALLEY RD", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,127812144,TGS,-122.059046,37.907975,NAVTEQ,2006Q3,ONENTITY,YES,TGS
6, ,LCHQ_431, ,POINT,UNCLASSIFIED,ROSS STORES INCORPORATED,925,965-4400,4440 ROSEWOOD DRIVE, ,PLEASANTON,CA,94588,3050,ALAMEDA,06001,"E SIDE OF ROSEWOOD DR, 0.19MI NE OF OWENS DR", , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,24635819,TGS,-121.8834,37.697702,NAVTEQ,2006Q3,ONENTITY,YES,TGS
7, ,LCHQ_222, ,POINT,UNCLASSIFIED,PROGRESS ENERGY HEADQUARTERS,919,546-6111,410 SOUTH WILMINGTON STREET, ,RALEIGH,NC,27601,1849,WAKE,37183,LOCATED ON THE WEST SIDE OF SOUTH WILMINGTON STREET BETWEEN EAST DAVIE STREET AND EAST CABARRUS STREET., , , ,2006-12-14T00:00:00.000Z,PHONE,2006-12-14T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,17112008,TGS,-78.638849,35.774909,NAVTEQ,2006Q3,ONENTITY,YES,TGS
8, ,LCHQ_499, ,POINT,UNCLASSIFIED,MARSHALL AND ILSLEY CORPORATION,414,765-7801,770 NORTH WATER STREET, ,MILWAUKEE,WI,53202,3509,MILWAUKEE,55079,LOCATED ON THE NORTHEAST CORNER OF EAST MASON STREET AND NORTH WATER STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,33434713,TGS,-87.909003,43.040309,NAVTEQ,2006Q3,ONENTITY,YES,TGS
9, ,LCHQ_369, ,POINT,UNCLASSIFIED,FAMILY DOLLAR STORES INCORPORATED,704,847-6961,10401 MONROE ROAD, ,MATTHEWS,NC,28105,5349,MECKLENBURG,37119,LOCATED ON THE EAST SIDE OF THE T INTERSECTION OF MONROE ROAD GANDER COVE LANE., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28198084,TGS,-80.734904,35.13178,NAVTEQ,2006Q3,BLOCKFACE,YES,TGS
10, ,LCHQ_402, ,POINT,UNCLASSIFIED,GOODRICH CORPORATION,704,423-7000,2730 WEST TYVOLA ROAD, ,CHARLOTTE,NC,28217,4576,MECKLENBURG,37119,LOCATED ON THE NORTHEAST SIDE OF THE T INTERSECTION OF NORTH FALLS DRIVE AND WEST TYVOLA ROAD., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28233256,TGS,-80.920335,35.187673,NAVTEQ,2006Q3,ONENTITY,YES,TGS
11, ,LCHQ_117, ,POINT,UNCLASSIFIED,DUKE ENERGY CORPORATION,704,594-6200,526 SOUTH CHURCH STREET, ,CHARLOTTE,NC,28202,1802,MECKLENBURG,37119,LOCATED ON THE NORTH SIDE OF THE INTERSECTION OF SOUTH CHURCH STREET AND WEST STONEWALL STREET., , , ,2006-12-13T00:00:00.000Z,PHONE,2006-12-13T00:00:00.000Z,MANUAL,"IMPORTANT INDUSTRY; COMMERCIAL AND RETAIL; CORPORATE HEADQUARTERS",551114,CORPORATE OFFICES,28228061,TGS,-80.849526,35.225176,NAVTEQ,2006Q3,ONENTITY,YES,TGS
